LOCATION,TIME,Value,INDICATOR,SUBJECT,MEASURE,FREQUENCY,
USA,1956,1.525054,CPI,TOT,AGRWTH,A,
USA,1957,3.341508,CPI,TOT,AGRWTH,A,
USA,1958,2.729161,CPI,TOT,AGRWTH,A,
USA,1959,1.010684,CPI,TOT,AGRWTH,A,
USA,1960,1.457976,CPI,TOT,AGRWTH,A,
USA,1961,1.070724,CPI,TOT,AGRWTH,A,
USA,1962,1.198773,CPI,TOT,AGRWTH,A,
USA,1963,1.239669,CPI,TOT,AGRWTH,A,
USA,1964,1.278912,CPI,TOT,AGRWTH,A,
USA,1965,1.585169,CPI,TOT,AGRWTH,A,
USA,1966,3.015075,CPI,TOT,AGRWTH,A,
USA,1967,2.772786,CPI,TOT,AGRWTH,A,
USA,1968,4.271796,CPI,TOT,AGRWTH,A,
USA,1969,5.462386,CPI,TOT,AGRWTH,A,
USA,1970,5.838255,CPI,TOT,AGRWTH,A,
USA,1971,4.292767,CPI,TOT,AGRWTH,A,
USA,1972,3.272278,CPI,TOT,AGRWTH,A,
USA,1973,6.17776,CPI,TOT,AGRWTH,A,
USA,1974,11.0548,CPI,TOT,AGRWTH,A,
USA,1975,9.143147,CPI,TOT,AGRWTH,A,
USA,1976,5.744812,CPI,TOT,AGRWTH,A,
USA,1977,6.501684,CPI,TOT,AGRWTH,A,
USA,1978,7.630964,CPI,TOT,AGRWTH,A,
USA,1979,11.25447,CPI,TOT,AGRWTH,A,
USA,1980,13.5492,CPI,TOT,AGRWTH,A,
USA,1981,10.33471,CPI,TOT,AGRWTH,A,
USA,1982,6.131427,CPI,TOT,AGRWTH,A,
USA,1983,3.212435,CPI,TOT,AGRWTH,A,
USA,1984,4.300536,CPI,TOT,AGRWTH,A,
USA,1985,3.545644,CPI,TOT,AGRWTH,A,
USA,1986,1.898048,CPI,TOT,AGRWTH,A,
USA,1987,3.664563,CPI,TOT,AGRWTH,A,
USA,1988,4.077741,CPI,TOT,AGRWTH,A,
USA,1989,4.827003,CPI,TOT,AGRWTH,A,
USA,1990,5.397956,CPI,TOT,AGRWTH,A,
USA,1991,4.234964,CPI,TOT,AGRWTH,A,
USA,1992,3.02882,CPI,TOT,AGRWTH,A,
USA,1993,2.951657,CPI,TOT,AGRWTH,A,
USA,1994,2.607442,CPI,TOT,AGRWTH,A,
USA,1995,2.80542,CPI,TOT,AGRWTH,A,
USA,1996,2.931204,CPI,TOT,AGRWTH,A,
USA,1997,2.33769,CPI,TOT,AGRWTH,A,
USA,1998,1.552279,CPI,TOT,AGRWTH,A,
USA,1999,2.188027,CPI,TOT,AGRWTH,A,
USA,2000,3.376857,CPI,TOT,AGRWTH,A,
USA,2001,2.826171,CPI,TOT,AGRWTH,A,
USA,2002,1.586032,CPI,TOT,AGRWTH,A,
USA,2003,2.270095,CPI,TOT,AGRWTH,A,
USA,2004,2.677237,CPI,TOT,AGRWTH,A,
USA,2005,3.392747,CPI,TOT,AGRWTH,A,
USA,2006,3.225944,CPI,TOT,AGRWTH,A,
USA,2007,2.852673,CPI,TOT,AGRWTH,A,
USA,2008,3.8391,CPI,TOT,AGRWTH,A,
USA,2009,-0.3555463,CPI,TOT,AGRWTH,A,
USA,2010,1.640043,CPI,TOT,AGRWTH,A,
USA,2011,3.156842,CPI,TOT,AGRWTH,A,
USA,2012,2.069337,CPI,TOT,AGRWTH,A,
USA,2013,1.464833,CPI,TOT,AGRWTH,A,
USA,2014,1.622223,CPI,TOT,AGRWTH,A,
USA,2015,0.1186271,CPI,TOT,AGRWTH,A,
USA,2016,1.261583,CPI,TOT,AGRWTH,A,
USA,2017,2.13011,CPI,TOT,AGRWTH,A,
USA,2018,2.442583,CPI,TOT,AGRWTH,A,
USA,2019,1.81221,CPI,TOT,AGRWTH,A,
USA,2020,1.233584,CPI,TOT,AGRWTH,A,
USA,2021,4.697859,CPI,TOT,AGRWTH,A,
G-7,1971,5.121692,CPI,TOT,AGRWTH,A,
G-7,1972,4.504171,CPI,TOT,AGRWTH,A,
G-7,1973,7.680068,CPI,TOT,AGRWTH,A,
G-7,1974,13.24937,CPI,TOT,AGRWTH,A,
G-7,1975,11.0928,CPI,TOT,AGRWTH,A,
G-7,1976,8.066606,CPI,TOT,AGRWTH,A,
G-7,1977,8.176018,CPI,TOT,AGRWTH,A,
G-7,1978,7.156513,CPI,TOT,AGRWTH,A,
G-7,1979,9.669775,CPI,TOT,AGRWTH,A,
G-7,1980,12.53371,CPI,TOT,AGRWTH,A,
G-7,1981,10.15988,CPI,TOT,AGRWTH,A,
G-7,1982,7.219895,CPI,TOT,AGRWTH,A,
G-7,1983,4.665839,CPI,TOT,AGRWTH,A,
G-7,1984,4.626688,CPI,TOT,AGRWTH,A,
G-7,1985,3.965809,CPI,TOT,AGRWTH,A,
G-7,1986,2.034214,CPI,TOT,AGRWTH,A,
G-7,1987,2.9143,CPI,TOT,AGRWTH,A,
G-7,1988,3.276109,CPI,TOT,AGRWTH,A,
G-7,1989,4.339593,CPI,TOT,AGRWTH,A,
G-7,1990,4.867193,CPI,TOT,AGRWTH,A,
G-7,1991,4.45068,CPI,TOT,AGRWTH,A,
G-7,1992,3.244293,CPI,TOT,AGRWTH,A,
G-7,1993,2.883308,CPI,TOT,AGRWTH,A,
G-7,1994,2.266416,CPI,TOT,AGRWTH,A,
G-7,1995,2.344346,CPI,TOT,AGRWTH,A,
G-7,1996,2.332133,CPI,TOT,AGRWTH,A,
G-7,1997,2.072005,CPI,TOT,AGRWTH,A,
G-7,1998,1.327539,CPI,TOT,AGRWTH,A,
G-7,1999,1.492435,CPI,TOT,AGRWTH,A,
G-7,2000,2.299695,CPI,TOT,AGRWTH,A,
G-7,2001,2.108799,CPI,TOT,AGRWTH,A,
G-7,2002,1.358205,CPI,TOT,AGRWTH,A,
G-7,2003,1.797036,CPI,TOT,AGRWTH,A,
G-7,2004,2.04963,CPI,TOT,AGRWTH,A,
G-7,2005,2.418538,CPI,TOT,AGRWTH,A,
G-7,2006,2.431508,CPI,TOT,AGRWTH,A,
G-7,2007,2.237088,CPI,TOT,AGRWTH,A,
G-7,2008,3.252538,CPI,TOT,AGRWTH,A,
G-7,2009,-0.1233125,CPI,TOT,AGRWTH,A,
G-7,2010,1.349171,CPI,TOT,AGRWTH,A,
G-7,2011,2.574993,CPI,TOT,AGRWTH,A,
G-7,2012,1.866476,CPI,TOT,AGRWTH,A,
G-7,2013,1.313528,CPI,TOT,AGRWTH,A,
G-7,2014,1.553305,CPI,TOT,AGRWTH,A,
G-7,2015,0.2970482,CPI,TOT,AGRWTH,A,
G-7,2016,0.8668007,CPI,TOT,AGRWTH,A,
G-7,2017,1.769906,CPI,TOT,AGRWTH,A,
G-7,2018,2.088463,CPI,TOT,AGRWTH,A,
G-7,2019,1.521047,CPI,TOT,AGRWTH,A,
G-7,2020,0.8741419,CPI,TOT,AGRWTH,A,
G-7,2021,3.492865,CPI,TOT,AGRWTH,A,
G-20,1997,6.259959,CPI,TOT,AGRWTH,A,
G-20,1998,6.615293,CPI,TOT,AGRWTH,A,
G-20,1999,6.102135,CPI,TOT,AGRWTH,A,
G-20,2000,4.453799,CPI,TOT,AGRWTH,A,
G-20,2001,4.311365,CPI,TOT,AGRWTH,A,
G-20,2002,3.515631,CPI,TOT,AGRWTH,A,
G-20,2003,3.356055,CPI,TOT,AGRWTH,A,
G-20,2004,3.06335,CPI,TOT,AGRWTH,A,
G-20,2005,3.293015,CPI,TOT,AGRWTH,A,
G-20,2006,3.334262,CPI,TOT,AGRWTH,A,
G-20,2007,3.380024,CPI,TOT,AGRWTH,A,
G-20,2008,4.979654,CPI,TOT,AGRWTH,A,
G-20,2009,2.03068,CPI,TOT,AGRWTH,A,
G-20,2010,3.280956,CPI,TOT,AGRWTH,A,
G-20,2011,4.159732,CPI,TOT,AGRWTH,A,
G-20,2012,3.247091,CPI,TOT,AGRWTH,A,
G-20,2013,3.158364,CPI,TOT,AGRWTH,A,
G-20,2014,2.790143,CPI,TOT,AGRWTH,A,
G-20,2015,2.376001,CPI,TOT,AGRWTH,A,
G-20,2016,2.254483,CPI,TOT,AGRWTH,A,
G-20,2017,2.348287,CPI,TOT,AGRWTH,A,
G-20,2018,3.23429,CPI,TOT,AGRWTH,A,
G-20,2019,3.574385,CPI,TOT,AGRWTH,A,
G-20,2020,2.707257,CPI,TOT,AGRWTH,A,
G-20,2021,4.29045,CPI,TOT,AGRWTH,A,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
